phase,tp,batch_size,input_len,output_len,left_model,right_model,left_calls,right_calls,calls_ratio_right_over_left,left_total_payload_bytes,right_total_payload_bytes,payload_ratio_right_over_left,left_histogram_json,right_histogram_json
decode,2,8,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,920944640,2444689408,2.6545454545454548,"{""all_reduce:32768"":28105}","{""all_reduce:65536"":37303}"
decode,2,16,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,2,16,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,2,16,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,2,16,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,2,16,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,2,16,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,2,16,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,2,16,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,2,16,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,4,1,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,6983680,18538496,2.6545454545454548,"{""all_reduce:4096"":1705}","{""all_reduce:8192"":2263}"
decode,4,1,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,28610560,75948032,2.6545454545454548,"{""all_reduce:4096"":6985}","{""all_reduce:8192"":9271}"
decode,4,1,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,115118080,305586176,2.6545454545454548,"{""all_reduce:4096"":28105}","{""all_reduce:8192"":37303}"
decode,4,1,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,6983680,18538496,2.6545454545454548,"{""all_reduce:4096"":1705}","{""all_reduce:8192"":2263}"
decode,4,1,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,28610560,75948032,2.6545454545454548,"{""all_reduce:4096"":6985}","{""all_reduce:8192"":9271}"
decode,4,1,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,115118080,305586176,2.6545454545454548,"{""all_reduce:4096"":28105}","{""all_reduce:8192"":37303}"
decode,4,1,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,6983680,18538496,2.6545454545454548,"{""all_reduce:4096"":1705}","{""all_reduce:8192"":2263}"
decode,4,1,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,28610560,75948032,2.6545454545454548,"{""all_reduce:4096"":6985}","{""all_reduce:8192"":9271}"
decode,4,1,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,115118080,305586176,2.6545454545454548,"{""all_reduce:4096"":28105}","{""all_reduce:8192"":37303}"
decode,4,2,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,13967360,37076992,2.6545454545454548,"{""all_reduce:8192"":1705}","{""all_reduce:16384"":2263}"
decode,4,2,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,57221120,151896064,2.6545454545454548,"{""all_reduce:8192"":6985}","{""all_reduce:16384"":9271}"
decode,4,2,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,230236160,611172352,2.6545454545454548,"{""all_reduce:8192"":28105}","{""all_reduce:16384"":37303}"
decode,4,2,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,13967360,37076992,2.6545454545454548,"{""all_reduce:8192"":1705}","{""all_reduce:16384"":2263}"
decode,4,2,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,57221120,151896064,2.6545454545454548,"{""all_reduce:8192"":6985}","{""all_reduce:16384"":9271}"
decode,4,2,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,230236160,611172352,2.6545454545454548,"{""all_reduce:8192"":28105}","{""all_reduce:16384"":37303}"
decode,4,2,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,13967360,37076992,2.6545454545454548,"{""all_reduce:8192"":1705}","{""all_reduce:16384"":2263}"
decode,4,2,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,57221120,151896064,2.6545454545454548,"{""all_reduce:8192"":6985}","{""all_reduce:16384"":9271}"
decode,4,2,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,230236160,611172352,2.6545454545454548,"{""all_reduce:8192"":28105}","{""all_reduce:16384"":37303}"
decode,4,4,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,27934720,74153984,2.6545454545454548,"{""all_reduce:16384"":1705}","{""all_reduce:32768"":2263}"
decode,4,4,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,114442240,303792128,2.6545454545454548,"{""all_reduce:16384"":6985}","{""all_reduce:32768"":9271}"
decode,4,4,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,460472320,1222344704,2.6545454545454548,"{""all_reduce:16384"":28105}","{""all_reduce:32768"":37303}"
decode,4,4,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,27934720,74153984,2.6545454545454548,"{""all_reduce:16384"":1705}","{""all_reduce:32768"":2263}"
decode,4,4,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,114442240,303792128,2.6545454545454548,"{""all_reduce:16384"":6985}","{""all_reduce:32768"":9271}"
decode,4,4,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,460472320,1222344704,2.6545454545454548,"{""all_reduce:16384"":28105}","{""all_reduce:32768"":37303}"
decode,4,4,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,27934720,74153984,2.6545454545454548,"{""all_reduce:16384"":1705}","{""all_reduce:32768"":2263}"
decode,4,4,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,114442240,303792128,2.6545454545454548,"{""all_reduce:16384"":6985}","{""all_reduce:32768"":9271}"
decode,4,4,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,460472320,1222344704,2.6545454545454548,"{""all_reduce:16384"":28105}","{""all_reduce:32768"":37303}"
decode,4,8,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,55869440,148307968,2.6545454545454548,"{""all_reduce:32768"":1705}","{""all_reduce:65536"":2263}"
decode,4,8,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,228884480,607584256,2.6545454545454548,"{""all_reduce:32768"":6985}","{""all_reduce:65536"":9271}"
decode,4,8,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,920944640,2444689408,2.6545454545454548,"{""all_reduce:32768"":28105}","{""all_reduce:65536"":37303}"
decode,4,8,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,55869440,148307968,2.6545454545454548,"{""all_reduce:32768"":1705}","{""all_reduce:65536"":2263}"
decode,4,8,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,228884480,607584256,2.6545454545454548,"{""all_reduce:32768"":6985}","{""all_reduce:65536"":9271}"
decode,4,8,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,920944640,2444689408,2.6545454545454548,"{""all_reduce:32768"":28105}","{""all_reduce:65536"":37303}"
decode,4,8,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,55869440,148307968,2.6545454545454548,"{""all_reduce:32768"":1705}","{""all_reduce:65536"":2263}"
decode,4,8,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,228884480,607584256,2.6545454545454548,"{""all_reduce:32768"":6985}","{""all_reduce:65536"":9271}"
decode,4,8,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,920944640,2444689408,2.6545454545454548,"{""all_reduce:32768"":28105}","{""all_reduce:65536"":37303}"
decode,4,16,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,4,16,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,4,16,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,4,16,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,4,16,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,4,16,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,4,16,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,4,16,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
decode,4,16,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,1841889280,4889378816,2.6545454545454548,"{""all_reduce:65536"":28105}","{""all_reduce:131072"":37303}"
decode,8,1,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,6983680,18538496,2.6545454545454548,"{""all_reduce:4096"":1705}","{""all_reduce:8192"":2263}"
decode,8,1,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,28610560,75948032,2.6545454545454548,"{""all_reduce:4096"":6985}","{""all_reduce:8192"":9271}"
decode,8,1,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,115118080,305586176,2.6545454545454548,"{""all_reduce:4096"":28105}","{""all_reduce:8192"":37303}"
decode,8,1,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,6983680,18538496,2.6545454545454548,"{""all_reduce:4096"":1705}","{""all_reduce:8192"":2263}"
decode,8,1,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,28610560,75948032,2.6545454545454548,"{""all_reduce:4096"":6985}","{""all_reduce:8192"":9271}"
decode,8,1,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,115118080,305586176,2.6545454545454548,"{""all_reduce:4096"":28105}","{""all_reduce:8192"":37303}"
decode,8,1,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,6983680,18538496,2.6545454545454548,"{""all_reduce:4096"":1705}","{""all_reduce:8192"":2263}"
decode,8,1,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,28610560,75948032,2.6545454545454548,"{""all_reduce:4096"":6985}","{""all_reduce:8192"":9271}"
decode,8,1,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,115118080,305586176,2.6545454545454548,"{""all_reduce:4096"":28105}","{""all_reduce:8192"":37303}"
decode,8,2,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,13967360,37076992,2.6545454545454548,"{""all_reduce:8192"":1705}","{""all_reduce:16384"":2263}"
decode,8,2,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,57221120,151896064,2.6545454545454548,"{""all_reduce:8192"":6985}","{""all_reduce:16384"":9271}"
decode,8,2,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,230236160,611172352,2.6545454545454548,"{""all_reduce:8192"":28105}","{""all_reduce:16384"":37303}"
decode,8,2,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,13967360,37076992,2.6545454545454548,"{""all_reduce:8192"":1705}","{""all_reduce:16384"":2263}"
decode,8,2,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,57221120,151896064,2.6545454545454548,"{""all_reduce:8192"":6985}","{""all_reduce:16384"":9271}"
decode,8,2,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,230236160,611172352,2.6545454545454548,"{""all_reduce:8192"":28105}","{""all_reduce:16384"":37303}"
decode,8,2,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,13967360,37076992,2.6545454545454548,"{""all_reduce:8192"":1705}","{""all_reduce:16384"":2263}"
decode,8,2,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,57221120,151896064,2.6545454545454548,"{""all_reduce:8192"":6985}","{""all_reduce:16384"":9271}"
decode,8,2,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,230236160,611172352,2.6545454545454548,"{""all_reduce:8192"":28105}","{""all_reduce:16384"":37303}"
decode,8,4,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,27934720,74153984,2.6545454545454548,"{""all_reduce:16384"":1705}","{""all_reduce:32768"":2263}"
decode,8,4,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,114442240,303792128,2.6545454545454548,"{""all_reduce:16384"":6985}","{""all_reduce:32768"":9271}"
decode,8,4,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,460472320,1222344704,2.6545454545454548,"{""all_reduce:16384"":28105}","{""all_reduce:32768"":37303}"
decode,8,4,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,27934720,74153984,2.6545454545454548,"{""all_reduce:16384"":1705}","{""all_reduce:32768"":2263}"
decode,8,4,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,114442240,303792128,2.6545454545454548,"{""all_reduce:16384"":6985}","{""all_reduce:32768"":9271}"
decode,8,4,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,460472320,1222344704,2.6545454545454548,"{""all_reduce:16384"":28105}","{""all_reduce:32768"":37303}"
decode,8,4,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,27934720,74153984,2.6545454545454548,"{""all_reduce:16384"":1705}","{""all_reduce:32768"":2263}"
decode,8,4,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,114442240,303792128,2.6545454545454548,"{""all_reduce:16384"":6985}","{""all_reduce:32768"":9271}"
decode,8,4,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,460472320,1222344704,2.6545454545454548,"{""all_reduce:16384"":28105}","{""all_reduce:32768"":37303}"
decode,8,8,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,55869440,148307968,2.6545454545454548,"{""all_reduce:32768"":1705}","{""all_reduce:65536"":2263}"
decode,8,8,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,228884480,607584256,2.6545454545454548,"{""all_reduce:32768"":6985}","{""all_reduce:65536"":9271}"
decode,8,8,128,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,920944640,2444689408,2.6545454545454548,"{""all_reduce:32768"":28105}","{""all_reduce:65536"":37303}"
decode,8,8,2048,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,55869440,148307968,2.6545454545454548,"{""all_reduce:32768"":1705}","{""all_reduce:65536"":2263}"
decode,8,8,2048,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,228884480,607584256,2.6545454545454548,"{""all_reduce:32768"":6985}","{""all_reduce:65536"":9271}"
decode,8,8,2048,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,920944640,2444689408,2.6545454545454548,"{""all_reduce:32768"":28105}","{""all_reduce:65536"":37303}"
decode,8,8,8192,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,55869440,148307968,2.6545454545454548,"{""all_reduce:32768"":1705}","{""all_reduce:65536"":2263}"
decode,8,8,8192,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,228884480,607584256,2.6545454545454548,"{""all_reduce:32768"":6985}","{""all_reduce:65536"":9271}"
decode,8,8,8192,512,deepseek-v2-lite,qwen3-8b,28105,37303,1.3272727272727274,920944640,2444689408,2.6545454545454548,"{""all_reduce:32768"":28105}","{""all_reduce:65536"":37303}"
decode,8,16,128,32,deepseek-v2-lite,qwen3-8b,1705,2263,1.3272727272727274,111738880,296615936,2.6545454545454548,"{""all_reduce:65536"":1705}","{""all_reduce:131072"":2263}"
decode,8,16,128,128,deepseek-v2-lite,qwen3-8b,6985,9271,1.3272727272727274,457768960,1215168512,2.6545454545454548,"{""all_reduce:65536"":6985}","{""all_reduce:131072"":9271}"
