configuration,topology_level,slice_type,slice_value,cases,h0_cost_mape,dnn_cost_mape,cost_mape_ratio,h0_cost_wape,dnn_cost_wape,cost_wape_ratio,h0_signed_bias,dnn_signed_bias,strict_mape_and_wape_improvement
P2D1,L1,model,qwen3-8b,300,0.02184331088952882,0.015123197592994776,0.6923491438399336,0.021039207153800022,0.014658769732237086,0.6967358429944198,-0.009173677237682781,0.0029247121035438765,True
P2D1,L1,overall,all,1800,0.025611609809090052,0.021693789583716983,0.8470295208080767,0.023570723550468735,0.01989473672816769,0.8440443792728652,-0.007312933662025312,0.003914793802721571,True
P2D1,L1,segment,burstgpt_1,600,0.027088818633044232,0.02385913913631056,0.8807744427512998,0.022860210597129584,0.020492750660019494,0.8964375272462557,-0.004334510444507845,0.003957841265755132,True
P2D1,L1,segment,burstgpt_2,600,0.023781557545282703,0.017003615057255023,0.7149916495115288,0.023238637877063203,0.016123984398624093,0.6938437822355606,-0.012695784940471026,0.0027140797244964783,True
P2D1,L1,segment,burstgpt_3,600,0.025964453248943226,0.02421861455758535,0.9327604292445891,0.024583280659825624,0.022129201922433228,0.9001728544147125,-0.006394333153717001,0.0047838435516548905,True
P2D1,L2,model,deepseek-v2-lite,300,0.048054775672916966,0.04761863690142139,0.9909241326093344,0.03128200423606618,0.03020717612041863,0.9656406888913995,-0.0004596652827847966,0.005154910927013048,True
P2D1,L2,model,llama-3.2-3b-instruct,300,0.023075098994730703,0.01989590763845553,0.8622241509342536,0.02210867964374881,0.018876369743452925,0.8537990530244164,-0.008911492210457264,0.008506912433711312,True
P2D1,L2,model,mixtral-8x7b-instruct-v0.1,300,0.02257796433469561,0.01647864592885528,0.7298552555303893,0.021650685923178415,0.01582537061159784,0.730940842601933,-0.008533223164488802,0.0035174508512229616,True
P2D1,L2,model,qwen2.5-14b-instruct,300,0.021703942273984214,0.015888223135360823,0.7320431898865444,0.02091627478107746,0.015311892790722297,0.73205639871277,-0.010686232581234372,0.0026330652653032997,True
P2D1,L2,model,qwen3-30b-a3b,300,0.01856449556881215,0.01730756577007684,0.9322938889410538,0.01793172914549755,0.016530205902635937,0.9218411547771166,-0.01016998646749552,0.0009597607716788813,True
P2D1,L2,model,qwen3-8b,300,0.02201269695869481,0.015263327837361814,0.6933874511606786,0.021198246712316245,0.014785669777307948,0.697494938046807,-0.009122275930432367,0.003058304551072901,True
P2D1,L2,overall,all,1800,0.025998162300639078,0.02207538453525528,0.849113267313999,0.023875392627415396,0.02013279609078011,0.8432446077415383,-0.006956948942169448,0.004029847293194718,True
P2D1,L2,segment,burstgpt_1,600,0.027487504815925785,0.02424954439966356,0.8822024611565977,0.023196749240927232,0.02076783049327859,0.8952905546194734,-0.003897357060023888,0.003954477746711755,True
P2D1,L2,segment,burstgpt_2,600,0.024130330732588978,0.01733634812406932,0.7184463535203803,0.02352248952943108,0.016378108548082818,0.6962744537558709,-0.012547501034221467,0.002926109867436812,True
P2D1,L2,segment,burstgpt_3,600,0.026376651353402465,0.024640261082032957,0.9341694194572003,0.02486933301873269,0.022302161317946267,0.8967736006891414,-0.005988987551819174,0.004947958505480594,True
P2D1,L3,model,deepseek-v2-lite,300,0.04785204922593269,0.04721544044648406,0.9866963110306334,0.031220552316495606,0.03007708211933989,0.9633744404786986,-0.0008744816557823446,0.005093383077171987,True
