timestamp, index, pstate, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/08/05 08:25:30.574, 0, P0, 36, 243.09 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:30.576, 1, P0, 33, 240.36 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:30.579, 2, P0, 36, 236.62 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:30.581, 3, P0, 33, 239.13 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:30.584, 4, P0, 33, 236.28 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:30.586, 5, P0, 36, 244.82 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:30.588, 6, P0, 33, 243.12 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:30.591, 7, P0, 37, 243.88 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 0, P0, 36, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 1, P0, 33, 240.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 2, P0, 36, 236.68 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 3, P0, 33, 239.25 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 4, P0, 33, 236.42 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 5, P0, 36, 245.01 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 6, P0, 33, 243.10 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:31.593, 7, P0, 37, 244.02 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 0, P0, 36, 243.18 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 2, P0, 36, 236.71 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 3, P0, 33, 239.21 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 4, P0, 33, 236.41 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 5, P0, 36, 245.08 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 6, P0, 33, 243.05 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:32.594, 7, P0, 37, 244.00 W, 1965 MHz, 3996 MHz, 0 %, 0 MiB
2026/08/05 08:25:33.594, 0, P0, 36, 243.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:33.600, 1, P0, 33, 240.62 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:33.601, 2, P0, 36, 236.95 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:33.601, 3, P0, 33, 239.45 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:33.602, 4, P0, 33, 236.52 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/05 08:25:33.602, 5, P0, 36, 245.14 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/05 08:25:33.639, 6, P0, 33, 243.10 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/05 08:25:33.649, 7, P0, 37, 244.09 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/05 08:25:34.661, 0, P0, 36, 243.38 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:34.662, 1, P0, 33, 240.61 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:34.673, 2, P0, 36, 236.90 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:34.674, 3, P0, 33, 239.59 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:34.674, 4, P0, 33, 236.73 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:34.675, 5, P0, 36, 245.42 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:34.675, 6, P0, 33, 243.11 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/05 08:25:34.723, 7, P0, 37, 244.04 W, 1965 MHz, 3996 MHz, 0 %, 1 MiB
2026/08/05 08:25:35.734, 0, P0, 36, 243.41 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:35.738, 1, P0, 33, 240.56 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:35.749, 2, P0, 36, 236.82 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:35.749, 3, P0, 33, 239.40 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:35.750, 4, P0, 33, 236.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:35.751, 5, P0, 36, 245.34 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:35.751, 6, P0, 33, 243.64 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:35.798, 7, P0, 37, 244.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.809, 0, P0, 36, 243.30 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.809, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.810, 2, P0, 36, 236.83 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.810, 3, P0, 33, 239.38 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.810, 4, P0, 33, 236.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.810, 5, P0, 36, 245.22 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.810, 6, P0, 33, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:36.810, 7, P0, 37, 244.25 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 0, P0, 36, 243.22 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 2, P0, 36, 236.80 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 3, P0, 33, 239.35 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 4, P0, 33, 236.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 5, P0, 36, 245.13 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 6, P0, 33, 243.14 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:37.810, 7, P0, 37, 243.99 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 0, P0, 36, 243.19 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 2, P0, 36, 236.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 3, P0, 33, 239.34 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 4, P0, 33, 236.54 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 5, P0, 36, 245.10 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 6, P0, 33, 243.09 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:38.810, 7, P0, 37, 244.05 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 0, P0, 36, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 2, P0, 36, 236.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 3, P0, 33, 239.35 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 4, P0, 33, 236.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 5, P0, 36, 245.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 6, P0, 33, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:39.810, 7, P0, 37, 244.08 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 0, P0, 36, 243.25 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 2, P0, 36, 236.76 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 3, P0, 33, 239.32 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 4, P0, 33, 236.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 5, P0, 36, 245.19 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 6, P0, 33, 243.17 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:40.811, 7, P0, 37, 244.02 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 0, P0, 36, 243.27 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 3, P0, 33, 239.35 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 4, P0, 33, 236.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 5, P0, 36, 245.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 6, P0, 33, 243.11 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:41.811, 7, P0, 37, 244.05 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 0, P0, 36, 243.25 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 1, P0, 33, 240.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 2, P0, 36, 236.76 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 3, P0, 33, 239.33 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 4, P0, 33, 236.54 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 5, P0, 36, 245.12 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 6, P0, 33, 243.13 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:42.811, 7, P0, 37, 244.01 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.811, 0, P0, 36, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.812, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.812, 2, P0, 36, 236.76 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.812, 3, P0, 33, 239.34 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.812, 4, P0, 33, 236.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.812, 5, P0, 36, 245.11 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.812, 6, P0, 33, 243.18 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:43.812, 7, P0, 37, 243.97 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 0, P0, 36, 243.19 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 2, P0, 36, 236.76 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 3, P0, 33, 239.40 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 4, P0, 33, 236.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 5, P0, 36, 245.17 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 6, P0, 33, 243.10 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:44.812, 7, P0, 37, 243.99 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.812, 0, P0, 36, 243.37 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.821, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.822, 2, P0, 36, 236.90 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.822, 3, P0, 33, 239.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.823, 4, P0, 33, 236.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.824, 5, P0, 36, 245.20 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.826, 6, P0, 33, 243.24 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:45.826, 7, P0, 37, 244.02 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.826, 0, P0, 36, 243.41 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.827, 1, P0, 33, 240.55 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.827, 2, P0, 36, 236.96 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.827, 3, P0, 33, 239.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.828, 4, P0, 33, 236.56 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.828, 5, P0, 36, 245.32 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.828, 6, P0, 33, 243.21 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:46.828, 7, P0, 37, 244.13 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 0, P0, 36, 243.33 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 1, P0, 33, 240.52 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 2, P0, 36, 236.83 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 3, P0, 33, 239.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 4, P0, 33, 236.57 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 5, P0, 36, 245.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 6, P0, 33, 243.25 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:47.828, 7, P0, 37, 244.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 0, P0, 36, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 1, P0, 33, 240.46 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 2, P0, 36, 236.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 3, P0, 33, 239.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 4, P0, 33, 236.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 5, P0, 36, 245.18 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 6, P0, 33, 243.07 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:48.829, 7, P0, 37, 244.04 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 0, P0, 36, 243.24 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 2, P0, 36, 236.76 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 3, P0, 33, 239.26 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 4, P0, 33, 236.51 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 5, P0, 36, 245.14 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 6, P0, 33, 243.15 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:49.829, 7, P0, 37, 244.00 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 0, P0, 36, 243.22 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 1, P0, 33, 240.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 2, P0, 36, 236.79 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 3, P0, 33, 239.30 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 4, P0, 33, 236.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 5, P0, 36, 245.03 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 6, P0, 33, 243.05 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:50.829, 7, P0, 37, 243.96 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.829, 0, P0, 36, 243.29 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.830, 1, P0, 33, 240.48 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.830, 2, P0, 36, 236.75 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.830, 3, P0, 33, 239.35 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.830, 4, P0, 33, 236.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.830, 5, P0, 36, 245.12 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.830, 6, P0, 33, 243.08 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:51.830, 7, P0, 37, 243.94 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 0, P0, 36, 243.22 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 2, P0, 36, 236.72 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 3, P0, 33, 239.32 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 4, P0, 33, 236.50 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 5, P0, 36, 245.15 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 6, P0, 33, 243.16 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:52.830, 7, P0, 37, 244.01 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:53.830, 0, P0, 36, 243.23 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:53.830, 1, P0, 33, 240.47 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:53.830, 2, P0, 36, 236.78 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:53.830, 3, P0, 33, 239.51 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:53.830, 4, P0, 33, 236.49 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:53.830, 5, P0, 36, 245.09 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:53.830, 6, P0, 33, 243.05 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:53.830, 7, P0, 37, 243.99 W, 1965 MHz, 3996 MHz, 0 %, 4 MiB
2026/08/05 08:25:54.830, 0, P0, 36, 243.17 W, 1965 MHz, 3996 MHz, 0 %, 27 MiB
2026/08/05 08:25:54.831, 1, P0, 33, 240.45 W, 1965 MHz, 3996 MHz, 0 %, 29 MiB
2026/08/05 08:25:54.834, 2, P0, 36, 236.78 W, 1965 MHz, 3996 MHz, 0 %, 28 MiB
2026/08/05 08:25:54.836, 3, P0, 33, 239.33 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:54.840, 4, P0, 33, 236.41 W, 1965 MHz, 3996 MHz, 0 %, 28 MiB
2026/08/05 08:25:54.843, 5, P0, 36, 245.05 W, 1965 MHz, 3996 MHz, 0 %, 28 MiB
2026/08/05 08:25:54.848, 6, P0, 33, 243.09 W, 1965 MHz, 3996 MHz, 0 %, 28 MiB
2026/08/05 08:25:54.853, 7, P0, 37, 244.03 W, 1965 MHz, 3996 MHz, 0 %, 29 MiB
2026/08/05 08:25:55.855, 0, P0, 36, 243.34 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:55.855, 1, P0, 33, 240.35 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:55.855, 2, P0, 36, 236.74 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:55.855, 3, P0, 33, 239.27 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:55.855, 4, P0, 33, 236.46 W, 1965 MHz, 3996 MHz, 1 %, 631 MiB
2026/08/05 08:25:55.855, 5, P0, 36, 245.18 W, 1965 MHz, 3996 MHz, 1 %, 631 MiB
2026/08/05 08:25:55.855, 6, P0, 33, 243.07 W, 1965 MHz, 3996 MHz, 1 %, 631 MiB
2026/08/05 08:25:55.855, 7, P0, 37, 243.98 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:56.856, 0, P0, 36, 243.28 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:56.856, 1, P0, 33, 240.24 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:56.856, 2, P0, 36, 236.48 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:56.856, 3, P0, 33, 239.26 W, 1965 MHz, 3996 MHz, 0 %, 631 MiB
2026/08/05 08:25:56.856, 4, P0, 33, 236.29 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:56.856, 5, P0, 36, 244.99 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:56.856, 6, P0, 33, 243.02 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:56.856, 7, P0, 37, 243.82 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 0, P0, 36, 243.17 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 1, P0, 33, 239.88 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 2, P0, 36, 236.40 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 3, P0, 33, 239.26 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 4, P0, 33, 235.98 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 5, P0, 36, 244.62 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 6, P0, 33, 242.75 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:57.856, 7, P0, 37, 243.59 W, 1965 MHz, 3996 MHz, 0 %, 727 MiB
2026/08/05 08:25:58.856, 0, P0, 36, 243.26 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:58.859, 1, P0, 33, 240.20 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:58.870, 2, P0, 36, 236.66 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:58.881, 3, P0, 33, 239.39 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:58.893, 4, P0, 33, 236.12 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:58.893, 5, P0, 36, 244.90 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:58.893, 6, P0, 33, 243.03 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:58.893, 7, P0, 37, 243.90 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:59.893, 0, P0, 36, 243.32 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:59.897, 1, P0, 33, 240.21 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:59.908, 2, P0, 36, 236.44 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
2026/08/05 08:25:59.908, 3, P0, 33, 239.46 W, 1965 MHz, 3996 MHz, 0 %, 823 MiB
