model,tp,profile_id,strategy,repeat,phase,requests,normalization_requests,total_calls_per_1000,total_logical_bytes_per_1000,calls_by_12bin_json,logical_bytes_by_12bin_json,canonical_exact_histogram_per_1000_json,raw_op_exact_histogram_per_1000_json
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,balanced,0,decode,32,1000,749375.0,10144640000.0,"[348906.25,393593.75,6875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2485120000.0,7434240000.0,225280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":91093.75,""8192"":257812.5,""12288"":87656.25,""16384"":89375.0,""20480"":106562.5,""24576"":108281.25,""28672"":1718.75,""32768"":6875.0}","{""all_reduce:4096"":91093.75,""all_reduce:8192"":257812.5,""all_reduce:12288"":87656.25,""all_reduce:16384"":89375.0,""all_reduce:20480"":106562.5,""all_reduce:24576"":108281.25,""all_reduce:28672"":1718.75,""all_reduce:32768"":6875.0}"
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,balanced,0,prefill,32,1000,6875.0,125150080000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5156.25,1718.75,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73138560000.0,52011520000.0,0.0,0.0]","{""12517376"":1718.75,""13901824"":1718.75,""16134144"":1718.75,""30261248"":1718.75}","{""all_reduce:12517376"":1718.75,""all_reduce:13901824"":1718.75,""all_reduce:16134144"":1718.75,""all_reduce:30261248"":1718.75}"
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,latency,0,decode,32,1000,1242656.25,10144640000.0,"[1010625.0,232031.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6786560000.0,3358080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":364375.0,""8192"":646250.0,""12288"":108281.25,""16384"":123750.0}","{""all_reduce:4096"":364375.0,""all_reduce:8192"":646250.0,""all_reduce:12288"":108281.25,""all_reduce:16384"":123750.0}"
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,latency,0,prefill,32,1000,13750.0,125150080000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,10312.5,3437.5,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,73138560000.0,52011520000.0,0.0,0.0,0.0]","{""5644288"":1718.75,""6373376"":1718.75,""6873088"":1718.75,""6967296"":1718.75,""7528448"":1718.75,""9166848"":1718.75,""12578816"":1718.75,""17682432"":1718.75}","{""all_reduce:5644288"":1718.75,""all_reduce:6373376"":1718.75,""all_reduce:6873088"":1718.75,""all_reduce:6967296"":1718.75,""all_reduce:7528448"":1718.75,""all_reduce:9166848"":1718.75,""all_reduce:12578816"":1718.75,""all_reduce:17682432"":1718.75}"
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,throughput,0,decode,32,1000,436562.5,10144640000.0,"[0.0,397031.25,39531.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,8729600000.0,1415040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""16384"":92812.5,""20480"":175312.5,""24576"":18906.25,""28672"":110000.0,""32768"":34375.0,""36864"":1718.75,""65536"":3437.5}","{""all_reduce:16384"":92812.5,""all_reduce:20480"":175312.5,""all_reduce:24576"":18906.25,""all_reduce:28672"":110000.0,""all_reduce:32768"":34375.0,""all_reduce:36864"":1718.75,""all_reduce:65536"":3437.5}"
deepseek-v2-lite,2,profile_01_burstgpt_1_c0,throughput,0,prefill,32,1000,3437.5,125150080000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125150080000.0,0.0,0.0]","{""30035968"":1718.75,""42778624"":1718.75}","{""all_reduce:30035968"":1718.75,""all_reduce:42778624"":1718.75}"
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,balanced,0,decode,32,1000,453750.0,2492160000.0,"[427968.75,8593.75,17187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1752960000.0,176000000.0,563200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":427968.75,""12288"":1718.75,""16384"":1718.75,""20480"":1718.75,""24576"":1718.75,""28672"":1718.75,""32768"":17187.5}","{""all_reduce:4096"":427968.75,""all_reduce:12288"":1718.75,""all_reduce:16384"":1718.75,""all_reduce:20480"":1718.75,""all_reduce:24576"":1718.75,""all_reduce:28672"":1718.75,""all_reduce:32768"":17187.5}"
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,balanced,0,prefill,32,1000,6875.0,40571520000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,5156.25,0.0,1718.75,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,14791040000.0,0.0,25780480000.0,0.0,0.0,0.0]","{""2629632"":1718.75,""2826240"":1718.75,""3149824"":1718.75,""14999552"":1718.75}","{""all_reduce:2629632"":1718.75,""all_reduce:2826240"":1718.75,""all_reduce:3149824"":1718.75,""all_reduce:14999552"":1718.75}"
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,latency,0,decode,32,1000,477812.5,2492160000.0,"[434843.75,42968.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1802240000.0,689920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":429687.5,""8192"":5156.25,""12288"":3437.5,""16384"":39531.25}","{""all_reduce:4096"":429687.5,""all_reduce:8192"":5156.25,""all_reduce:12288"":3437.5,""all_reduce:16384"":39531.25}"
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,latency,0,prefill,32,1000,13750.0,40571520000.0,"[0.0,0.0,0.0,0.0,0.0,5156.25,6875.0,0.0,1718.75,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,6603520000.0,10616320000.0,0.0,23351680000.0,0.0,0.0,0.0]","{""1126400"":1718.75,""1302528"":1718.75,""1413120"":1718.75,""1503232"":1718.75,""1523712"":1718.75,""1564672"":1718.75,""1585152"":1718.75,""13586432"":1718.75}","{""all_reduce:1126400"":1718.75,""all_reduce:1302528"":1718.75,""all_reduce:1413120"":1718.75,""all_reduce:1503232"":1718.75,""all_reduce:1523712"":1718.75,""all_reduce:1564672"":1718.75,""all_reduce:1585152"":1718.75,""all_reduce:13586432"":1718.75}"
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,throughput,0,decode,32,1000,436562.5,2492160000.0,"[422812.5,1718.75,12031.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1745920000.0,35200000.0,711040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":419375.0,""8192"":3437.5,""20480"":1718.75,""32768"":1718.75,""53248"":1718.75,""65536"":8593.75}","{""all_reduce:4096"":419375.0,""all_reduce:8192"":3437.5,""all_reduce:20480"":1718.75,""all_reduce:32768"":1718.75,""all_reduce:53248"":1718.75,""all_reduce:65536"":8593.75}"
deepseek-v2-lite,2,profile_02_burstgpt_1_c1,throughput,0,prefill,32,1000,3437.5,40571520000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.75,1718.75,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,9377280000.0,31194240000.0,0.0,0.0,0.0]","{""5455872"":1718.75,""18149376"":1718.75}","{""all_reduce:5455872"":1718.75,""all_reduce:18149376"":1718.75}"
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,balanced,0,decode,32,1000,721875.0,14009600000.0,"[156406.25,405625.0,159843.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1041920000.0,7729920000.0,5237760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":58437.5,""8192"":97968.75,""12288"":6875.0,""16384"":266406.25,""20480"":44687.5,""24576"":36093.75,""28672"":51562.5,""32768"":159843.75}","{""all_reduce:4096"":58437.5,""all_reduce:8192"":97968.75,""all_reduce:12288"":6875.0,""all_reduce:16384"":266406.25,""all_reduce:20480"":44687.5,""all_reduce:24576"":36093.75,""all_reduce:28672"":51562.5,""all_reduce:32768"":159843.75}"
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,balanced,0,prefill,32,1000,6875.0,99432960000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,1718.75,0.0,5156.25,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,4597120000.0,0.0,94835840000.0,0.0,0.0,0.0]","{""2674688"":1718.75,""11292672"":1718.75,""19214336"":1718.75,""24670208"":1718.75}","{""all_reduce:2674688"":1718.75,""all_reduce:11292672"":1718.75,""all_reduce:19214336"":1718.75,""all_reduce:24670208"":1718.75}"
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,latency,0,decode,32,1000,1385312.5,14009600000.0,"[862812.5,522500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[5998080000.0,8011520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":261250.0,""8192"":601562.5,""12288"":134062.5,""16384"":388437.5}","{""all_reduce:4096"":261250.0,""all_reduce:8192"":601562.5,""all_reduce:12288"":134062.5,""all_reduce:16384"":388437.5}"
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,latency,0,prefill,32,1000,13750.0,99432960000.0,"[0.0,0.0,0.0,0.0,0.0,3437.5,1718.75,5156.25,3437.5,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,4597120000.0,4491520000.0,30236800000.0,60107520000.0,0.0,0.0,0.0]","{""1277952"":1718.75,""1396736"":1718.75,""2613248"":1718.75,""5464064"":1718.75,""5828608"":1718.75,""6299648"":1718.75,""16601088"":1718.75,""18370560"":1718.75}","{""all_reduce:1277952"":1718.75,""all_reduce:1396736"":1718.75,""all_reduce:2613248"":1718.75,""all_reduce:5464064"":1718.75,""all_reduce:5828608"":1718.75,""all_reduce:6299648"":1718.75,""all_reduce:16601088"":1718.75,""all_reduce:18370560"":1718.75}"
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,throughput,0,decode,32,1000,436562.5,14009600000.0,"[0.0,299062.5,137500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,6061440000.0,7948160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""16384"":151250.0,""20480"":46406.25,""24576"":67031.25,""28672"":34375.0,""32768"":8593.75,""36864"":5156.25,""40960"":5156.25,""45056"":1718.75,""49152"":15468.75,""53248"":1718.75,""57344"":8593.75,""61440"":30937.5,""65536"":60156.25}","{""all_reduce:16384"":151250.0,""all_reduce:20480"":46406.25,""all_reduce:24576"":67031.25,""all_reduce:28672"":34375.0,""all_reduce:32768"":8593.75,""all_reduce:36864"":5156.25,""all_reduce:40960"":5156.25,""all_reduce:45056"":1718.75,""all_reduce:49152"":15468.75,""all_reduce:53248"":1718.75,""all_reduce:57344"":8593.75,""all_reduce:61440"":30937.5,""all_reduce:65536"":60156.25}"
deepseek-v2-lite,2,profile_03_burstgpt_1_c2,throughput,0,prefill,32,1000,3437.5,99432960000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.75,1718.75,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37621760000.0,61811200000.0,0.0,0.0]","{""21889024"":1718.75,""35962880"":1718.75}","{""all_reduce:21889024"":1718.75,""all_reduce:35962880"":1718.75}"
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,balanced,0,decode,32,1000,519062.5,13756160000.0,"[42968.75,405625.0,70468.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[239360000.0,11207680000.0,2309120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":27500.0,""8192"":15468.75,""12288"":1718.75,""16384"":6875.0,""20480"":12031.25,""24576"":51562.5,""28672"":333437.5,""32768"":70468.75}","{""all_reduce:4096"":27500.0,""all_reduce:8192"":15468.75,""all_reduce:12288"":1718.75,""all_reduce:16384"":6875.0,""all_reduce:20480"":12031.25,""all_reduce:24576"":51562.5,""all_reduce:28672"":333437.5,""all_reduce:32768"":70468.75}"
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,balanced,0,prefill,32,1000,6875.0,69555200000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,3437.5,1718.75,1718.75,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,10278400000.0,18008320000.0,41268480000.0,0.0,0.0,0.0]","{""2887680"":1718.75,""3092480"":1718.75,""10477568"":1718.75,""24010752"":1718.75}","{""all_reduce:2887680"":1718.75,""all_reduce:3092480"":1718.75,""all_reduce:10477568"":1718.75,""all_reduce:24010752"":1718.75}"
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,latency,0,decode,32,1000,990000.0,13756160000.0,"[111718.75,878281.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[739200000.0,13016960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":42968.75,""8192"":68750.0,""12288"":335156.25,""16384"":543125.0}","{""all_reduce:4096"":42968.75,""all_reduce:8192"":68750.0,""all_reduce:12288"":335156.25,""all_reduce:16384"":543125.0}"
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,latency,0,prefill,32,1000,13750.0,69555200000.0,"[0.0,0.0,0.0,0.0,0.0,1718.75,6875.0,3437.5,1718.75,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,2358400000.0,11440000000.0,30025600000.0,25731200000.0,0.0,0.0,0.0]","{""1372160"":1718.75,""1515520"":1718.75,""1531904"":1718.75,""1560576"":1718.75,""2048000"":1718.75,""8429568"":1718.75,""9039872"":1718.75,""14970880"":1718.75}","{""all_reduce:1372160"":1718.75,""all_reduce:1515520"":1718.75,""all_reduce:1531904"":1718.75,""all_reduce:1560576"":1718.75,""all_reduce:2048000"":1718.75,""all_reduce:8429568"":1718.75,""all_reduce:9039872"":1718.75,""all_reduce:14970880"":1718.75}"
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,throughput,0,decode,32,1000,436562.5,13756160000.0,"[0.0,342031.25,94531.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,9602560000.0,4153600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""24576"":49843.75,""28672"":292187.5,""32768"":29218.75,""36864"":24062.5,""40960"":3437.5,""49152"":6875.0,""53248"":12031.25,""57344"":1718.75,""61440"":8593.75,""65536"":8593.75}","{""all_reduce:24576"":49843.75,""all_reduce:28672"":292187.5,""all_reduce:32768"":29218.75,""all_reduce:36864"":24062.5,""all_reduce:40960"":3437.5,""all_reduce:49152"":6875.0,""all_reduce:53248"":12031.25,""all_reduce:57344"":1718.75,""all_reduce:61440"":8593.75,""all_reduce:65536"":8593.75}"
deepseek-v2-lite,2,profile_04_burstgpt_1_c3,throughput,0,prefill,32,1000,3437.5,69555200000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.5,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69555200000.0,0.0,0.0,0.0]","{""13570048"":1718.75,""26898432"":1718.75}","{""all_reduce:13570048"":1718.75,""all_reduce:26898432"":1718.75}"
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,balanced,0,decode,32,1000,873125.0,12017280000.0,"[287031.25,582656.25,3437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1823360000.0,10081280000.0,112640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":128906.25,""8192"":158125.0,""12288"":189062.5,""16384"":194218.75,""20480"":84218.75,""24576"":110000.0,""28672"":5156.25,""32768"":3437.5}","{""all_reduce:4096"":128906.25,""all_reduce:8192"":158125.0,""all_reduce:12288"":189062.5,""all_reduce:16384"":194218.75,""all_reduce:20480"":84218.75,""all_reduce:24576"":110000.0,""all_reduce:28672"":5156.25,""all_reduce:32768"":3437.5}"
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,balanced,0,prefill,32,1000,6875.0,170241280000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5156.25,1718.75,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121545600000.0,48695680000.0,0.0,0.0]","{""20807680"":1718.75,""24580096"":1718.75,""25329664"":1718.75,""28332032"":1718.75}","{""all_reduce:20807680"":1718.75,""all_reduce:24580096"":1718.75,""all_reduce:25329664"":1718.75,""all_reduce:28332032"":1718.75}"
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,latency,0,decode,32,1000,1536562.5,12017280000.0,"[1065625.0,470937.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[6117760000.0,5899520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":637656.25,""8192"":427968.75,""12288"":443437.5,""16384"":27500.0}","{""all_reduce:4096"":637656.25,""all_reduce:8192"":427968.75,""all_reduce:12288"":443437.5,""all_reduce:16384"":27500.0}"
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,latency,0,prefill,32,1000,13750.0,170241280000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718.75,12031.25,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,14122240000.0,156119040000.0,0.0,0.0,0.0]","{""8216576"":1718.75,""10887168"":1718.75,""11124736"":1718.75,""11534336"":1718.75,""12591104"":1718.75,""13045760"":1718.75,""14442496"":1718.75,""17207296"":1718.75}","{""all_reduce:8216576"":1718.75,""all_reduce:10887168"":1718.75,""all_reduce:11124736"":1718.75,""all_reduce:11534336"":1718.75,""all_reduce:12591104"":1718.75,""all_reduce:13045760"":1718.75,""all_reduce:14442496"":1718.75,""all_reduce:17207296"":1718.75}"
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,throughput,0,decode,32,1000,436562.5,12017280000.0,"[6875.0,244062.5,185625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[56320000.0,4576000000.0,7384960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""8192"":6875.0,""12288"":53281.25,""16384"":101406.25,""20480"":25781.25,""24576"":22343.75,""28672"":41250.0,""32768"":51562.5,""36864"":10312.5,""40960"":91093.75,""45056"":15468.75,""49152"":12031.25,""53248"":1718.75,""57344"":1718.75,""61440"":1718.75}","{""all_reduce:8192"":6875.0,""all_reduce:12288"":53281.25,""all_reduce:16384"":101406.25,""all_reduce:20480"":25781.25,""all_reduce:24576"":22343.75,""all_reduce:28672"":41250.0,""all_reduce:32768"":51562.5,""all_reduce:36864"":10312.5,""all_reduce:40960"":91093.75,""all_reduce:45056"":15468.75,""all_reduce:49152"":12031.25,""all_reduce:53248"":1718.75,""all_reduce:57344"":1718.75,""all_reduce:61440"":1718.75}"
deepseek-v2-lite,2,profile_05_burstgpt_1_c4,throughput,0,prefill,32,1000,3437.5,170241280000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.5,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170241280000.0,0.0,0.0]","{""49139712"":1718.75,""49909760"":1718.75}","{""all_reduce:49139712"":1718.75,""all_reduce:49909760"":1718.75}"
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,balanced,0,decode,32,1000,713281.25,5765760000.0,"[555156.25,147812.5,10312.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2893440000.0,2534400000.0,337920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":403906.25,""8192"":151250.0,""12288"":73906.25,""16384"":20625.0,""20480"":8593.75,""24576"":41250.0,""28672"":3437.5,""32768"":10312.5}","{""all_reduce:4096"":403906.25,""all_reduce:8192"":151250.0,""all_reduce:12288"":73906.25,""all_reduce:16384"":20625.0,""all_reduce:20480"":8593.75,""all_reduce:24576"":41250.0,""all_reduce:28672"":3437.5,""all_reduce:32768"":10312.5}"
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,balanced,0,prefill,32,1000,6875.0,64064000000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,5156.25,1718.75,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,44844800000.0,19219200000.0,0.0,0.0,0.0]","{""7802880"":1718.75,""8675328"":1718.75,""9613312"":1718.75,""11182080"":1718.75}","{""all_reduce:7802880"":1718.75,""all_reduce:8675328"":1718.75,""all_reduce:9613312"":1718.75,""all_reduce:11182080"":1718.75}"
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,latency,0,decode,32,1000,1002031.25,5765760000.0,"[883437.5,118593.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[4209920000.0,1555840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":739062.5,""8192"":144375.0,""12288"":94531.25,""16384"":24062.5}","{""all_reduce:4096"":739062.5,""all_reduce:8192"":144375.0,""all_reduce:12288"":94531.25,""all_reduce:16384"":24062.5}"
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,latency,0,prefill,32,1000,13750.0,64064000000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,3437.5,10312.5,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,12467840000.0,51596160000.0,0.0,0.0,0.0,0.0]","{""3502080"":1718.75,""3751936"":1718.75,""4190208"":1718.75,""4300800"":1718.75,""4923392"":1718.75,""5046272"":1718.75,""5423104"":1718.75,""6135808"":1718.75}","{""all_reduce:3502080"":1718.75,""all_reduce:3751936"":1718.75,""all_reduce:4190208"":1718.75,""all_reduce:4300800"":1718.75,""all_reduce:4923392"":1718.75,""all_reduce:5046272"":1718.75,""all_reduce:5423104"":1718.75,""all_reduce:6135808"":1718.75}"
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,throughput,0,decode,32,1000,436562.5,5765760000.0,"[271562.5,122031.25,42968.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1569920000.0,2295040000.0,1900800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":159843.75,""8192"":111718.75,""12288"":20625.0,""16384"":44687.5,""20480"":36093.75,""24576"":5156.25,""28672"":15468.75,""32768"":3437.5,""36864"":18906.25,""45056"":5156.25,""49152"":1718.75,""53248"":3437.5,""57344"":10312.5}","{""all_reduce:4096"":159843.75,""all_reduce:8192"":111718.75,""all_reduce:12288"":20625.0,""all_reduce:16384"":44687.5,""all_reduce:20480"":36093.75,""all_reduce:24576"":5156.25,""all_reduce:28672"":15468.75,""all_reduce:32768"":3437.5,""all_reduce:36864"":18906.25,""all_reduce:45056"":5156.25,""all_reduce:49152"":1718.75,""all_reduce:53248"":3437.5,""all_reduce:57344"":10312.5}"
deepseek-v2-lite,2,profile_06_burstgpt_2_c0,throughput,0,prefill,32,1000,3437.5,64064000000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.5,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64064000000.0,0.0,0.0,0.0]","{""18288640"":1718.75,""18984960"":1718.75}","{""all_reduce:18288640"":1718.75,""all_reduce:18984960"":1718.75}"
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,balanced,0,decode,32,1000,532812.5,6138880000.0,"[314531.25,177031.25,41250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1619200000.0,3168000000.0,1351680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":233750.0,""8192"":80781.25,""12288"":80781.25,""16384"":15468.75,""20480"":37812.5,""24576"":20625.0,""28672"":22343.75,""32768"":41250.0}","{""all_reduce:4096"":233750.0,""all_reduce:8192"":80781.25,""all_reduce:12288"":80781.25,""all_reduce:16384"":15468.75,""all_reduce:20480"":37812.5,""all_reduce:24576"":20625.0,""all_reduce:28672"":22343.75,""all_reduce:32768"":41250.0}"
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,balanced,0,prefill,32,1000,6875.0,133034880000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6875.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133034880000.0,0.0,0.0,0.0]","{""15200256"":1718.75,""20054016"":1718.75,""20955136"":1718.75,""21192704"":1718.75}","{""all_reduce:15200256"":1718.75,""all_reduce:20054016"":1718.75,""all_reduce:20955136"":1718.75,""all_reduce:21192704"":1718.75}"
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,latency,0,decode,32,1000,818125.0,6138880000.0,"[608437.5,209687.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[3132800000.0,3006080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":452031.25,""8192"":156406.25,""12288"":104843.75,""16384"":104843.75}","{""all_reduce:4096"":452031.25,""all_reduce:8192"":156406.25,""all_reduce:12288"":104843.75,""all_reduce:16384"":104843.75}"
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,latency,0,prefill,32,1000,13750.0,133034880000.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,10312.5,3437.5,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,95082240000.0,37952640000.0,0.0,0.0,0.0]","{""6393856"":1718.75,""8806400"":1718.75,""9646080"":1718.75,""9777152"":1718.75,""10289152"":1718.75,""10407936"":1718.75,""10665984"":1718.75,""11415552"":1718.75}","{""all_reduce:6393856"":1718.75,""all_reduce:8806400"":1718.75,""all_reduce:9646080"":1718.75,""all_reduce:9777152"":1718.75,""all_reduce:10289152"":1718.75,""all_reduce:10407936"":1718.75,""all_reduce:10665984"":1718.75,""all_reduce:11415552"":1718.75}"
deepseek-v2-lite,2,profile_07_burstgpt_2_c1,throughput,0,decode,32,1000,333437.5,6138880000.0,"[175312.5,85937.5,72187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[985600000.0,1598080000.0,3555200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","{""4096"":110000.0,""8192"":65312.5,""12288"":17187.5,""16384"":24062.5,""20480"":29218.75,""24576"":12031.25,""28672"":3437.5,""32768"":8593.75,""36864"":12031.25,""40960"":10312.5,""45056"":3437.5,""49152"":8593.75,""53248"":1718.75,""57344"":3437.5,""61440"":8593.75,""65536"":15468.75}","{""all_reduce:4096"":110000.0,""all_reduce:8192"":65312.5,""all_reduce:12288"":17187.5,""all_reduce:16384"":24062.5,""all_reduce:20480"":29218.75,""all_reduce:24576"":12031.25,""all_reduce:28672"":3437.5,""all_reduce:32768"":8593.75,""all_reduce:36864"":12031.25,""all_reduce:40960"":10312.5,""all_reduce:45056"":3437.5,""all_reduce:49152"":8593.75,""all_reduce:53248"":1718.75,""all_reduce:57344"":3437.5,""all_reduce:61440"":8593.75,""all_reduce:65536"":15468.75}"
