candidate_id,oof_scheme,slice_type,slice_value,points,wape,signed_bias
max_edge,refit,configuration,P1D4,180,0.6212915393941626,-0.6212854357950485
max_edge,refit,configuration,P2D2_ALL_TO_ALL,180,0.37519970781344447,-0.3744302055544888
max_edge,refit,configuration,P2D2_MATCHING,180,0.04420577976657956,0.04379552175927982
max_edge,refit,configuration,P4D1,180,0.6200089823903958,-0.6187314356261664
max_edge,refit,configuration_topology,P1D4/L1,60,0.622339735313459,-0.6223214376126365
max_edge,refit,configuration_topology,P1D4/L2,60,0.6212506312675435,-0.6212506312675435
max_edge,refit,configuration_topology,P1D4/L3,60,0.6202835478632142,-0.6202835478632142
max_edge,refit,configuration_topology,P2D2_ALL_TO_ALL/L1,60,0.3742168341365442,-0.3732508286160044
max_edge,refit,configuration_topology,P2D2_ALL_TO_ALL/L2,60,0.3818951257565423,-0.38117439643822326
max_edge,refit,configuration_topology,P2D2_ALL_TO_ALL/L3,60,0.36937850689805213,-0.3687563986521389
max_edge,refit,configuration_topology,P2D2_MATCHING/L1,60,0.05879374214980056,0.05817827015161263
max_edge,refit,configuration_topology,P2D2_MATCHING/L2,60,0.03610831419113207,0.03608882756797372
max_edge,refit,configuration_topology,P2D2_MATCHING/L3,60,0.03804386122527842,0.03744404129029871
max_edge,refit,configuration_topology,P4D1/L1,60,0.622544665594513,-0.6216112887108313
max_edge,refit,configuration_topology,P4D1/L2,60,0.6194953933813501,-0.6180925377165827
max_edge,refit,configuration_topology,P4D1/L3,60,0.6179649958698367,-0.6164656627175429
max_edge,refit,model,deepseek-v2-lite,360,0.5154901396865408,-0.5078862447260055
max_edge,refit,model,qwen3-8b,360,0.3706635711585874,-0.3253194572031886
max_edge,refit,model_configuration,deepseek-v2-lite/P1D4,90,0.6347766711704295,-0.6347766711704294
max_edge,refit,model_configuration,deepseek-v2-lite/P2D2_ALL_TO_ALL,90,0.3878079123492862,-0.3873533566910057
max_edge,refit,model_configuration,deepseek-v2-lite/P2D2_MATCHING,90,0.03334889785578314,0.03289001566595277
max_edge,refit,model_configuration,deepseek-v2-lite/P4D1,90,0.6327215700861584,-0.6327215700861584
max_edge,refit,model_configuration,qwen3-8b/P1D4,90,0.4645176271686003,-0.4644405650406664
