method,profiles,calls_histogram_wape,bytes_histogram_wape,calls_total_wape,bytes_total_wape,mean_profile_calls_l1,mean_profile_bytes_l1,mean_calls_histogram_tv,mean_normalized_log_payload_emd,composite_ratio_to_h0,scientific_outcome
h0,1800,0.25737420090605384,0.22647348860144195,0.011820696236007988,0.021938578630968892,0.25980374032316383,0.27386767431216097,0.13208302753478626,0.014427805353294399,1.0,BASELINE
h0_plus_dnn_residual,1800,0.2296949728551848,0.20292730070790366,0.00962607814738099,0.021763543484956877,0.23143132662054983,0.24119675370273036,0.11634064941709245,0.013202078192298983,0.896086273103736,CONFIRMS_SIX_MODEL_H0_PROTECTED_IMPROVEMENT
