method,phase,model,parallel_size,policy,segment,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
h0,decode,all,2,all,all,135,0.11527851524338914,0.11021373599977374,0.0117236529102336,0.010129406155524125,0.329450480938971,0.1647252404694855,0.015326628413449972,0.10817295691238536,0.1062181346825157
h0,decode,all,2,all,burstgpt_1,27,0.21343523920960783,0.19134146077505887,0.005725706032068147,0.004645381559542627,0.6029421696715782,0.3014710848357891,0.026692134812023267,0.19768386616925981,0.18017862489015843
h0,decode,all,2,all,burstgpt_2,27,0.11205191996308599,0.12999671561922269,0.018922782270990163,0.019770121735616895,0.32431464943700566,0.16215732471850283,0.01465506723618733,0.10639982091537277,0.12414953198981342
h0,decode,all,2,all,burstgpt_3,27,0.10053595847493947,0.11599902082484674,0.011167071718826204,0.007821749794667801,0.36513414804564265,0.18256707402282132,0.016574137214392954,0.0931521381408586,0.10978511050259653
h0,decode,all,2,all,mooncake_conversation,27,0.10405507491062697,0.11898716559102765,0.007344407803838089,0.007375486142886554,0.20720435783623123,0.10360217891811561,0.011427762627964544,0.09896167133362896,0.11570590698670749
h0,decode,all,2,all,mooncake_toolagent,27,0.04631438365868549,0.03939385288050176,0.015458296725445393,0.01544699480135595,0.14765707970439756,0.07382853985219878,0.007284040176681778,0.04466728800280677,0.03862681013311393
h0,decode,all,2,balanced,all,45,0.10127847138466345,0.09122693779744605,0.011723652910234606,0.01012940615552774,0.2999909191730622,0.1499954595865311,0.01399103832523738,0.0956229631536134,0.0867591191191233
h0,decode,all,2,balanced,burstgpt_1,9,0.19001987732302605,0.17705370606170928,0.005725706032064852,0.00464538155953879,0.5760573269533261,0.28802866347666306,0.02775305493933841,0.17758344634911788,0.1652229572051029
h0,decode,all,2,balanced,burstgpt_2,9,0.14806339521823508,0.16060648547548562,0.018922782270985393,0.019770121735614953,0.23310579323959832,0.11655289661979916,0.011530186275628556,0.1398167562800835,0.15235693539658904
h0,decode,all,2,balanced,burstgpt_3,9,0.05161368648677259,0.04641289086631998,0.011167071718815594,0.007821749794659924,0.32800886800942447,0.16400443400471224,0.014089542204058034,0.04864537661554669,0.04343073446838154
h0,decode,all,2,balanced,mooncake_conversation,9,0.06551212930098031,0.06583639609605878,0.0073444078038821985,0.007375486142929716,0.22088711705383293,0.11044355852691647,0.009807761045069604,0.06241034457793057,0.06270075457213077
h0,decode,all,2,balanced,mooncake_toolagent,9,0.05118326859430333,0.05118710695617172,0.015458296725424996,0.015446994801327923,0.14189549060912907,0.07094774530456453,0.006774647162092297,0.049658891945388514,0.049668755725026055
h0,decode,all,2,latency,all,45,0.12212952953263129,0.11545238936299995,0.011723652910224789,0.01012940615550824,0.28662042345595584,0.14331021172797792,0.01294615386546177,0.11875189256149923,0.11320906783091601
h0,decode,all,2,latency,burstgpt_1,9,0.2145505767748061,0.18778675910590922,0.005725706032076894,0.0046453815595515185,0.647356807154553,0.3236784035772765,0.027931167208945715,0.2069144272709828,0.1810575453632988
h0,decode,all,2,latency,burstgpt_2,9,0.12415919577835509,0.13202724816398415,0.018922782270992675,0.019770121735618987,0.2924798672476684,0.1462399336238342,0.013795086773610474,0.12015992206545503,0.12812846385557788
h0,decode,all,2,latency,burstgpt_3,9,0.10650377302891333,0.13759485476171157,0.011167071718841003,0.00782174979468005,0.3546717102603215,0.17733585513016076,0.01711357935973616,0.10320557496225385,0.13322311207008167
h0,decode,all,2,latency,mooncake_conversation,9,0.13410232961093638,0.13378871875211115,0.007344407803707962,0.0073754861427580325,0.11061817558138408,0.05530908779069204,0.004722076956806019,0.1323379664369963,0.1320404813785165
h0,decode,all,2,latency,mooncake_toolagent,9,0.03133177247014568,0.031246087951874824,0.015458296725505416,0.015446994801429687,0.027975557035852108,0.013987778517926054,0.0011688590282104682,0.031141572071808152,0.031058583288674408
h0,decode,all,2,throughput,all,45,0.1224275448128726,0.1204639097793139,0.011723652910241402,0.010129406155536397,0.4017401001878952,0.2008700500939476,0.019042693049650773,0.11014401502204346,0.10959903792420045
h0,decode,all,2,throughput,burstgpt_1,9,0.23573526353099133,0.23063949532583128,0.005725706032062695,0.004645381559537574,0.5854123749068555,0.29270618745342775,0.024392182287785672,0.20855372488767865,0.2036465033434565
h0,decode,all,2,throughput,burstgpt_2,9,0.06393316889266777,0.06999677868920277,0.018922782270992426,0.019770121735616743,0.44735828782375037,0.22367914391187518,0.018639928659322954,0.05922278440057979,0.0650153941969231
h0,decode,all,2,throughput,burstgpt_3,9,0.14349041590913247,0.15541059347224567,0.011167071718822011,0.007821749794663433,0.4127218658671818,0.2063609329335909,0.018519290079384663,0.12760546284477522,0.13858260227481853
h0,decode,all,2,throughput,mooncake_conversation,9,0.11255076581996419,0.11462180527097322,0.007344407803924107,0.007375486142971913,0.29010778087347655,0.14505389043673828,0.019753449882018003,0.10213670298596002,0.10384832551475673
h0,decode,all,2,throughput,mooncake_toolagent,9,0.05642810991160749,0.05643632869653632,0.015458296725405758,0.015446994801310244,0.2731001914682115,0.13655009573410576,0.013908614339742569,0.053201399991223676,0.05320529923151434
h0,decode,all,4,all,all,135,0.11527851524338914,0.11021373599977374,0.0117236529102336,0.010129406155524125,0.329450480938971,0.1647252404694855,0.015326628413449972,0.10817295691238536,0.1062181346825157
h0,decode,all,4,all,burstgpt_1,27,0.21343523920960783,0.19134146077505887,0.005725706032068147,0.004645381559542627,0.6029421696715782,0.3014710848357891,0.026692134812023267,0.19768386616925981,0.18017862489015843
h0,decode,all,4,all,burstgpt_2,27,0.11205191996308599,0.12999671561922269,0.018922782270990163,0.019770121735616895,0.32431464943700566,0.16215732471850283,0.01465506723618733,0.10639982091537277,0.12414953198981342
h0,decode,all,4,all,burstgpt_3,27,0.10053595847493947,0.11599902082484674,0.011167071718826204,0.007821749794667801,0.36513414804564265,0.18256707402282132,0.016574137214392954,0.0931521381408586,0.10978511050259653
h0,decode,all,4,all,mooncake_conversation,27,0.10405507491062697,0.11898716559102765,0.007344407803838089,0.007375486142886554,0.20720435783623123,0.10360217891811561,0.011427762627964544,0.09896167133362896,0.11570590698670749
h0,decode,all,4,all,mooncake_toolagent,27,0.04631438365868549,0.03939385288050176,0.015458296725445393,0.01544699480135595,0.14765707970439756,0.07382853985219878,0.007284040176681778,0.04466728800280677,0.03862681013311393
h0,decode,all,4,balanced,all,45,0.10127847138466345,0.09122693779744605,0.011723652910234606,0.01012940615552774,0.2999909191730622,0.1499954595865311,0.01399103832523738,0.0956229631536134,0.0867591191191233
h0,decode,all,4,balanced,burstgpt_1,9,0.19001987732302605,0.17705370606170928,0.005725706032064852,0.00464538155953879,0.5760573269533261,0.28802866347666306,0.02775305493933841,0.17758344634911788,0.1652229572051029
h0,decode,all,4,balanced,burstgpt_2,9,0.14806339521823508,0.16060648547548562,0.018922782270985393,0.019770121735614953,0.23310579323959832,0.11655289661979916,0.011530186275628556,0.1398167562800835,0.15235693539658904
h0,decode,all,4,balanced,burstgpt_3,9,0.05161368648677259,0.04641289086631998,0.011167071718815594,0.007821749794659924,0.32800886800942447,0.16400443400471224,0.014089542204058034,0.04864537661554669,0.04343073446838154
h0,decode,all,4,balanced,mooncake_conversation,9,0.06551212930098031,0.06583639609605878,0.0073444078038821985,0.007375486142929716,0.22088711705383293,0.11044355852691647,0.009807761045069604,0.06241034457793057,0.06270075457213077
h0,decode,all,4,balanced,mooncake_toolagent,9,0.05118326859430333,0.05118710695617172,0.015458296725424996,0.015446994801327923,0.14189549060912907,0.07094774530456453,0.006774647162092297,0.049658891945388514,0.049668755725026055
h0,decode,all,4,latency,all,45,0.12212952953263129,0.11545238936299995,0.011723652910224789,0.01012940615550824,0.28662042345595584,0.14331021172797792,0.01294615386546177,0.11875189256149923,0.11320906783091601
h0,decode,all,4,latency,burstgpt_1,9,0.2145505767748061,0.18778675910590922,0.005725706032076894,0.0046453815595515185,0.647356807154553,0.3236784035772765,0.027931167208945715,0.2069144272709828,0.1810575453632988
h0,decode,all,4,latency,burstgpt_2,9,0.12415919577835509,0.13202724816398415,0.018922782270992675,0.019770121735618987,0.2924798672476684,0.1462399336238342,0.013795086773610474,0.12015992206545503,0.12812846385557788
h0,decode,all,4,latency,burstgpt_3,9,0.10650377302891333,0.13759485476171157,0.011167071718841003,0.00782174979468005,0.3546717102603215,0.17733585513016076,0.01711357935973616,0.10320557496225385,0.13322311207008167
h0,decode,all,4,latency,mooncake_conversation,9,0.13410232961093638,0.13378871875211115,0.007344407803707962,0.0073754861427580325,0.11061817558138408,0.05530908779069204,0.004722076956806019,0.1323379664369963,0.1320404813785165
h0,decode,all,4,latency,mooncake_toolagent,9,0.03133177247014568,0.031246087951874824,0.015458296725505416,0.015446994801429687,0.027975557035852108,0.013987778517926054,0.0011688590282104682,0.031141572071808152,0.031058583288674408
h0,decode,all,4,throughput,all,45,0.1224275448128726,0.1204639097793139,0.011723652910241402,0.010129406155536397,0.4017401001878952,0.2008700500939476,0.019042693049650773,0.11014401502204346,0.10959903792420045
h0,decode,all,4,throughput,burstgpt_1,9,0.23573526353099133,0.23063949532583128,0.005725706032062695,0.004645381559537574,0.5854123749068555,0.29270618745342775,0.024392182287785672,0.20855372488767865,0.2036465033434565
h0,decode,all,4,throughput,burstgpt_2,9,0.06393316889266777,0.06999677868920277,0.018922782270992426,0.019770121735616743,0.44735828782375037,0.22367914391187518,0.018639928659322954,0.05922278440057979,0.0650153941969231
h0,decode,all,4,throughput,burstgpt_3,9,0.14349041590913247,0.15541059347224567,0.011167071718822011,0.007821749794663433,0.4127218658671818,0.2063609329335909,0.018519290079384663,0.12760546284477522,0.13858260227481853
h0,decode,all,4,throughput,mooncake_conversation,9,0.11255076581996419,0.11462180527097322,0.007344407803924107,0.007375486142971913,0.29010778087347655,0.14505389043673828,0.019753449882018003,0.10213670298596002,0.10384832551475673
