parallelism,method,phase,slice_type,slice_value,cases,calls_mape,calls_wape,bytes_mape,bytes_wape,mean_histogram_l1,mean_histogram_tv,mean_normalized_log_payload_emd,common_reference_cost_mape,common_reference_cost_wape
tp,h0,prefill,overall,all,270,0.04997653186700349,0.07325167610299095,0.07422805815130987,0.03803366558723877,0.6276531530948105,0.31382657654740526,0.03427036245093328,0.07064833826316522,0.038524345656935584
tp,h0,prefill,model,deepseek-v2-lite,90,0.04997653186700372,0.07325167610299134,0.07422805815130985,0.03803366558723875,0.6522933672802368,0.3261466836401184,0.0355961769884124,0.06998399841502716,0.0386801408234504
tp,h0,prefill,model,qwen3-30b-a3b,90,0.049976531867003376,0.07325167610299076,0.0742280581513099,0.038033665587238724,0.6522933672802368,0.3261466836401184,0.035596176988412394,0.0699839984150272,0.038680140823450386
tp,h0,prefill,model,qwen3-8b,90,0.049976531867003376,0.07325167610299091,0.07422805815130985,0.03803366558723881,0.5783727247239577,0.28918636236197887,0.03161873337597506,0.07197701795944132,0.03836039553164222
tp,h0,prefill,policy,balanced,90,0.05149435418939276,0.05786800226152196,0.07422805815130985,0.03803366558723868,0.5362168941131074,0.2681084470565537,0.03451782653220241,0.07094226487192001,0.03815104472227587
tp,h0,prefill,policy,latency,90,0.04952190574074345,0.08452915909758012,0.07422805815130985,0.03803366558723876,0.6917843811808819,0.34589219059044096,0.03560139076313599,0.06836609676088785,0.03935102139714789
tp,h0,prefill,policy,throughput,90,0.048913335670874275,0.05178899266325506,0.07422805815130992,0.03803366558723887,0.6549581839904421,0.32747909199522107,0.03269187005746146,0.0726366531566878,0.03805403395700679
tp,h0,prefill,parallel_size,2,90,0.04997653186700349,0.07325167610299095,0.07422805815130987,0.038033665587238766,0.6276531530948104,0.3138265765474052,0.03427036245093328,0.07064833826316522,0.03852434565693558
tp,h0,prefill,parallel_size,4,90,0.04997653186700349,0.07325167610299095,0.07422805815130987,0.038033665587238766,0.6276531530948104,0.3138265765474052,0.03427036245093328,0.07064833826316522,0.03852434565693558
tp,h0,prefill,parallel_size,8,90,0.04997653186700349,0.07325167610299095,0.07422805815130987,0.038033665587238766,0.6276531530948104,0.3138265765474052,0.03427036245093328,0.07064833826316522,0.03852434565693558
tp,h0,prefill,source,burstgpt,243,0.03609634041251237,0.034336484689375814,0.07984553895545995,0.05605340525910166,0.6337065696774998,0.3168532848387499,0.03477986364645926,0.07572063220706424,0.05525282526396191
tp,h0,prefill,source,mooncake,27,0.17489825495742362,0.22084825425246182,0.02367073091395911,0.02367073091395913,0.573172403850606,0.286586201925303,0.02968485169119948,0.02499769276807411,0.02488262298714031
tp,h0,decode,overall,all,270,0.23049688347181593,0.19608983115795822,0.027679568726024836,0.01571838124826888,0.49261479181775614,0.24630739590887807,0.023590878552314135,0.22072469483732512,0.1886650955185394
tp,h0,decode,model,deepseek-v2-lite,90,0.23049688347181593,0.19608983115795825,0.027679568726024822,0.015718381248268867,0.45375759584662345,0.22687879792331173,0.020567816495735164,0.22302290085218984,0.1904325909724025
tp,h0,decode,model,qwen3-30b-a3b,90,0.23049688347181593,0.19608983115795825,0.027679568726024825,0.015718381248268874,0.45375759584662345,0.22687879792331173,0.020567816495735167,0.22302290085218987,0.19043259097240248
tp,h0,decode,model,qwen3-8b,90,0.23049688347181593,0.19608983115795825,0.027679568726024856,0.015718381248268895,0.5703291837600213,0.28516459188001064,0.029637002665472076,0.21612828280759563,0.18508581618842818
tp,h0,decode,policy,balanced,90,0.24595884365866946,0.1905350094095276,0.027679568726024822,0.015718381248268867,0.4224273161490009,0.21121365807450046,0.021076237710717222,0.23562848019589164,0.1819781555718277
tp,h0,decode,policy,latency,90,0.24909474933437611,0.2041937512399101,0.027679568726024832,0.015718381248268878,0.38678078952466166,0.19339039476233083,0.01794507954071717,0.24356853082392338,0.1996563693771387
tp,h0,decode,policy,throughput,90,0.19643705742240217,0.17616219335642266,0.027679568726024846,0.015718381248268902,0.6686362697796058,0.3343181348898029,0.03175131840550802,0.18297707349216039,0.16196483401093045
tp,h0,decode,parallel_size,2,90,0.23049688347181593,0.19608983115795825,0.027679568726024832,0.01571838124826888,0.49261479181775614,0.24630739590887807,0.023590878552314138,0.22072469483732512,0.1886650955185394
tp,h0,decode,parallel_size,4,90,0.23049688347181593,0.19608983115795825,0.027679568726024832,0.01571838124826888,0.49261479181775614,0.24630739590887807,0.023590878552314138,0.22072469483732512,0.1886650955185394
tp,h0,decode,parallel_size,8,90,0.23049688347181593,0.19608983115795825,0.027679568726024832,0.01571838124826888,0.49261479181775614,0.24630739590887807,0.023590878552314138,0.22072469483732512,0.1886650955185394
tp,h0,decode,source,burstgpt,243,0.24099532927385342,0.2023056770682623,0.03005600916873807,0.01775152610831418,0.5246277467229628,0.2623138733614814,0.025197247145728883,0.2307338129172425,0.19405802178860154
tp,h0,decode,source,mooncake,27,0.13601087125347827,0.17644415450876916,0.006291604741605693,0.006291604741605678,0.20449819767089703,0.10224909883544851,0.009133561211581417,0.13064263211806879,0.17140063093598157
tp,h0,total,overall,all,270,0.22771130857635236,0.19483498740282781,0.06818040411715212,0.0362273568270131,0.49525194280376045,0.24762597140188022,0.024515825123585078,0.16407263946221495,0.12603408112298972
tp,h0,total,model,deepseek-v2-lite,90,0.22771130857635236,0.19483498740282784,0.0681804041171521,0.03622735682701307,0.45722316002836166,0.22861158001418083,0.021534026996241164,0.1737163297804986,0.13706516154829881
tp,h0,total,model,qwen3-30b-a3b,90,0.22771130857635236,0.19483498740282781,0.06818040411715215,0.03622735682701306,0.45722316002836166,0.22861158001418083,0.021534026996241153,0.17371632978049864,0.13706516154829884
tp,h0,total,model,qwen3-8b,90,0.22771130857635238,0.19483498740282787,0.0681804041171521,0.036227356827013134,0.571309508354558,0.285654754177279,0.030479421378272913,0.14478525882564766,0.10869829789001903
tp,h0,total,policy,balanced,90,0.24276805544459373,0.1892387880542145,0.0681804041171521,0.036227356827012995,0.4241537247722605,0.21207686238613024,0.021877111874720894,0.1735802629809567,0.11439465382028574
tp,h0,total,policy,latency,90,0.24562507577125012,0.2029056675350237,0.06818040411715211,0.03622735682701312,0.39264089444899986,0.19632044722449993,0.019244280996145773,0.20035009033495288,0.15380202936744605
tp,h0,total,policy,throughput,90,0.19474079451321316,0.175052068756381,0.06818040411715215,0.03622735682701317,0.6689612091900209,0.33448060459501044,0.03242608249988856,0.11828756507073535,0.08237010214119977
tp,h0,total,parallel_size,2,90,0.22771130857635236,0.19483498740282784,0.06818040411715211,0.0362273568270131,0.4952519428037604,0.2476259714018802,0.024515825123585078,0.16407263946221498,0.1260340811229897
tp,h0,total,parallel_size,4,90,0.22771130857635236,0.19483498740282784,0.06818040411715211,0.0362273568270131,0.4952519428037604,0.2476259714018802,0.024515825123585078,0.16407263946221498,0.1260340811229897
tp,h0,total,parallel_size,8,90,0.22771130857635236,0.19483498740282784,0.06818040411715211,0.0362273568270131,0.4952519428037604,0.2476259714018802,0.024515825123585078,0.16407263946221498,0.1260340811229897
tp,h0,total,source,burstgpt,243,0.23786470611431385,0.20052328788831641,0.07319199899771292,0.0512871752186448,0.5272218770654401,0.26361093853272005,0.026192807864636444,0.17408852517552517,0.14764571485571507
tp,h0,total,source,mooncake,27,0.13633073073469895,0.17682575571062564,0.023076050192104923,0.023076050192104944,0.20752253444864335,0.10376126722432168,0.009422980454122773,0.07392966804242321,0.086667306611099
tp,h0_plus_dnn_residual,prefill,overall,all,270,0.04757151776047359,0.06073203920460636,0.07428633062005986,0.030848589186182555,0.6243963604884506,0.3121981802442253,0.03502304757871775,0.07071375330310628,0.030488453069808616
tp,h0_plus_dnn_residual,prefill,model,deepseek-v2-lite,90,0.05207262298537584,0.0651756872212224,0.07535712398855052,0.03156299424830078,0.6481689317669995,0.32408446588349976,0.03635987900891345,0.07106084814316586,0.031077367538136984
tp,h0_plus_dnn_residual,prefill,model,qwen3-30b-a3b,90,0.049650039484605564,0.06396068961813973,0.07511940772834799,0.03164849146624985,0.6493750317307595,0.32468751586537975,0.03643919512600117,0.07079712408039499,0.031135894499127768
tp,h0_plus_dnn_residual,prefill,model,qwen3-8b,90,0.040991890811439356,0.0530939606973924,0.07238246014328108,0.03004802206575084,0.575645117967593,0.2878225589837965,0.03227006860123865,0.07028328768575799,0.02982940793447756
tp,h0_plus_dnn_residual,prefill,policy,balanced,90,0.046780407423636365,0.050149795029923304,0.07407431452615691,0.027844327962436095,0.5351521255203175,0.2675760627601588,0.03456989641160594,0.0709348257082481,0.027957722483878712
tp,h0_plus_dnn_residual,prefill,policy,latency,90,0.057393029701665495,0.06970498677135449,0.07568070389084453,0.029876428640100303,0.6905893265753923,0.34529466328769615,0.038164806975166415,0.06957608456840345,0.028731760051459592
tp,h0_plus_dnn_residual,prefill,policy,throughput,90,0.03854111615611891,0.04035441713973686,0.07310397344317815,0.03482501095601126,0.6474476293696421,0.32372381468482103,0.032334439349380906,0.07163034963266729,0.03483314819168945
tp,h0_plus_dnn_residual,prefill,parallel_size,2,90,0.04797363493886563,0.061055048661877664,0.07442095469941355,0.03093542468873709,0.6241741999305613,0.31208709996528067,0.03501998562159148,0.07083075488787854,0.03057359020893768
tp,h0_plus_dnn_residual,prefill,parallel_size,4,90,0.047619992277261186,0.0607597878791449,0.07432191654171215,0.030868061551779295,0.6244179339393179,0.31220896696965894,0.035024116671906885,0.07074492843997623,0.030507211916169827
tp,h0_plus_dnn_residual,prefill,parallel_size,8,90,0.047120926065293944,0.06038128107279655,0.07411612061905389,0.030742281318031264,0.6245969475954727,0.31229847379773634,0.03502504044265489,0.07056557658146406,0.030384557084318347
tp,h0_plus_dnn_residual,prefill,source,burstgpt,243,0.04113466346716409,0.04536778775976399,0.08110645267315826,0.05376144364809046,0.6305073355912767,0.31525366779563835,0.035472862517070575,0.07719140150639203,0.05302305635237215
tp,h0_plus_dnn_residual,prefill,source,mooncake,27,0.10550320640025908,0.11900519312499029,0.01290523214217435,0.012585515589807713,0.5693975845630155,0.28469879228150774,0.03097471313354237,0.012414919473534585,0.012111958870929319
tp,h0_plus_dnn_residual,decode,overall,all,270,0.1814629498081165,0.14432303888055942,0.03176534676947914,0.021047712680479263,0.48894797456336114,0.24447398728168057,0.023143634658847244,0.17414496297615387,0.1389647661474229
tp,h0_plus_dnn_residual,decode,model,deepseek-v2-lite,90,0.18296053168971452,0.14506654449888579,0.03062822758856556,0.019469551025684588,0.4346818490108493,0.21734092450542464,0.019751449681658977,0.1773299358476542,0.14100181337714734
tp,h0_plus_dnn_residual,decode,model,qwen3-30b-a3b,90,0.18290010638896562,0.14574001019271085,0.030469825743869697,0.01872370247316755,0.4391340332127227,0.21956701660636135,0.019969083596962534,0.1772531958235848,0.1416455338407153
tp,h0_plus_dnn_residual,decode,model,qwen3-8b,90,0.17852821134566943,0.14188003852046854,0.03419798697600217,0.02318625981145832,0.5930280414665114,0.2965140207332557,0.02971037069792023,0.16785175725722262,0.13400774510619007
tp,h0_plus_dnn_residual,decode,policy,balanced,90,0.206101168358126,0.1608825932005639,0.031505830565965086,0.02151244769284535,0.42882239374798115,0.21441119687399057,0.021044824065347655,0.19791709077625075,0.15379995159669788
tp,h0_plus_dnn_residual,decode,policy,latency,90,0.1886962320783797,0.1383975624032117,0.03326544435981614,0.022428432150543277,0.34262178344922484,0.17131089172461242,0.015918359515755445,0.1844309335138427,0.1353258466370753
tp,h0_plus_dnn_residual,decode,policy,throughput,90,0.14959144898784385,0.1359918868381854,0.030524765382656197,0.019202258198049153,0.6953997464928774,0.3476998732464387,0.03246772039543864,0.14008686463836817,0.12548995525486212
tp,h0_plus_dnn_residual,decode,parallel_size,2,90,0.1817584113237048,0.14457415255282888,0.031474741182516586,0.02077804925857448,0.4889680904107609,0.24448404520538045,0.023145146039236106,0.17443758582467572,0.13921972203959326
tp,h0_plus_dnn_residual,decode,parallel_size,4,90,0.1814788375356869,0.14433587193676847,0.03174091344142232,0.021022862117229674,0.4889222263462314,0.2444611131731157,0.023142260140898305,0.1741612650980634,0.13897637224313025
tp,h0_plus_dnn_residual,decode,parallel_size,8,90,0.18115160056495785,0.144059092152081,0.032080385684498516,0.021342226665633623,0.4889536069330911,0.24447680346654554,0.02314349779640732,0.1738360380057225,0.13869820415954523
tp,h0_plus_dnn_residual,decode,source,burstgpt,243,0.1943050398946333,0.16974018864237894,0.03392091293050302,0.0225951382734174,0.519415972065867,0.2597079860329335,0.024652869562054883,0.18658997179973763,0.1630560053100138
tp,h0_plus_dnn_residual,decode,source,mooncake,27,0.06588413902946536,0.06399011030249349,0.012365251320264278,0.013872997532541573,0.2147359970408083,0.10736799852040416,0.009560520529978491,0.06213988356389987,0.061841081445593964
tp,h0_plus_dnn_residual,total,overall,all,270,0.17916304868397998,0.1432646886638305,0.0679560296085942,0.02969917596802129,0.4915362885386942,0.2457681442693471,0.024019120665978968,0.1284239220583139,0.08993616221988142
tp,h0_plus_dnn_residual,total,model,deepseek-v2-lite,90,0.18062836832436066,0.1439738106216695,0.0689241838071409,0.03040902174905818,0.43828484236299337,0.21914242118149668,0.02068456465044591,0.13714152286796202,0.09906719391539569
tp,h0_plus_dnn_residual,total,model,qwen3-30b-a3b,90,0.18058614492355524,0.14466783702486438,0.06873542551225324,0.030491387368763685,0.44271020350637114,0.22135510175318557,0.02089381164389109,0.1373662081274348,0.09982843693582251
tp,h0_plus_dnn_residual,total,model,qwen3-8b,90,0.17627463280402408,0.14086596128435877,0.0662084795063885,0.028905436078781276,0.5936138197467179,0.29680690987335895,0.030478985703599894,0.1107640351795449,0.07482293793895015
tp,h0_plus_dnn_residual,total,policy,balanced,90,0.20337312396510626,0.1596635160521694,0.06763923854249419,0.02675711909443082,0.4302993713708131,0.21514968568540654,0.02183798457233175,0.14515966327295263,0.09213907698718869
tp,h0_plus_dnn_residual,total,policy,latency,90,0.1859256380102958,0.13739993114862561,0.06906811349022815,0.028977538952940755,0.348926588740415,0.1744632943702075,0.017197839912503225,0.1534582384665046,0.10184751352028164
